id,title,area,zone,size_sqft,bedrooms,bathrooms,rent_bdt,service_charge_bdt,total_monthly_cost_bdt,price_per_sqft,furnished,parking,lift,cctv,generator,managed_by,verified,source
68,"4 Bed 2515 Sq Ft Apartment in Nobodoy Housing Society, Mohammadpur","Nobodoy Housing Society, Mohammadpur",Mohammadpur,2515,4,5,51300,3500.0,54800.0,20.39761431411531,Unfurnished,True,True,True,False,Bproperty,True,synthetic
69,"3 Bed 2847 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,2847,3,4,148100,,148100.0,52.019669827889004,Unfurnished,True,True,True,False,Bproperty,True,synthetic
70,"3 Bed 2620 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,2620,3,4,94200,3500.0,97700.0,35.954198473282446,Unfurnished,False,True,True,True,Bproperty,True,synthetic
71,"5 Bed 4391 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,4391,5,5,129700,7500.0,137200.0,29.537690731040765,Unfurnished,True,True,True,True,Bproperty,True,synthetic
72,"4 Bed 4210 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,4210,4,4,281000,,281000.0,66.7458432304038,Unfurnished,True,True,True,True,Bproperty,True,synthetic
73,"5 Bed 2981 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,2981,5,5,84800,9000.0,93800.0,28.44682992284468,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
74,"1 Bed 2884 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2884,1,1,71500,7500.0,79000.0,24.791955617198337,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
75,"2 Bed 3780 Sq Ft Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,3780,2,1,123900,12000.0,135900.0,32.77777777777778,Unfurnished,True,True,False,False,Bproperty,True,synthetic
76,"5 Bed 1375 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1375,5,5,39900,5000.0,44900.0,29.01818181818182,Unfurnished,True,True,True,False,Bproperty,True,synthetic
77,"4 Bed 4143 Sq Ft Furnished Apartment in Road No 11, Dhanmondi","Road No 11, Dhanmondi",Dhanmondi,4143,4,3,104300,3500.0,107800.0,25.17499396572532,Furnished,True,True,True,False,Bproperty,True,synthetic
78,"4 Bed 2274 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,2274,4,3,78500,2000.0,80500.0,34.52066842568162,Semi-Furnished,True,False,True,False,Bproperty,True,synthetic
79,"2 Bed 2571 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2571,2,1,77100,3000.0,80100.0,29.98833138856476,Unfurnished,True,False,True,True,Bproperty,True,synthetic
80,"5 Bed 3722 Sq Ft Apartment in Humayun Road, Mohammadpur","Humayun Road, Mohammadpur",Mohammadpur,3722,5,5,109500,,109500.0,29.419666845781837,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
81,"2 Bed 3366 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3366,2,3,195100,7500.0,202600.0,57.96197266785502,Unfurnished,True,True,True,True,Bproperty,True,synthetic
82,"5 Bed 4340 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,4340,5,5,162100,3500.0,165600.0,37.35023041474654,Unfurnished,True,True,True,True,Bproperty,True,synthetic
83,"1 Bed 3985 Sq Ft Furnished Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,3985,1,1,78200,2000.0,80200.0,19.62358845671267,Furnished,True,True,False,True,Bproperty,True,synthetic
84,"3 Bed 4408 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,4408,3,3,166900,2000.0,168900.0,37.862976406533576,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
85,"3 Bed 1046 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,1046,3,4,24200,3000.0,27200.0,23.135755258126196,Semi-Furnished,True,True,False,True,Bproperty,True,synthetic
86,"1 Bed 3026 Sq Ft Furnished Apartment in Nobodoy Housing Society, Mohammadpur","Nobodoy Housing Society, Mohammadpur",Mohammadpur,3026,1,1,93400,3500.0,96900.0,30.865829477858558,Furnished,True,True,True,True,Bproperty,True,synthetic
87,"4 Bed 1557 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1557,4,5,40900,3000.0,43900.0,26.268464996788698,Unfurnished,True,True,False,True,Bproperty,True,synthetic
88,"5 Bed 1433 Sq Ft Apartment in PC Culture Housing, Mohammadpur","PC Culture Housing, Mohammadpur",Mohammadpur,1433,5,4,47400,,47400.0,33.07745987438939,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
89,"3 Bed 1125 Sq Ft Furnished Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1125,3,4,32200,3000.0,35200.0,28.622222222222224,Furnished,True,True,True,True,Bproperty,True,synthetic
90,"1 Bed 2774 Sq Ft Apartment in Sector 10, Uttara","Sector 10, Uttara",Uttara,2774,1,2,72700,,72700.0,26.207642393655373,Unfurnished,True,True,True,False,Bproperty,True,synthetic
91,"5 Bed 1936 Sq Ft Furnished Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,1936,5,5,55900,12000.0,67900.0,28.873966942148762,Furnished,True,True,False,False,Bproperty,True,synthetic
92,"4 Bed 3429 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3429,4,5,182800,6000.0,188800.0,53.31000291630213,Unfurnished,True,True,False,True,Bproperty,True,synthetic
93,"2 Bed 2413 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,2413,2,1,127100,5000.0,132100.0,52.67302113551595,Unfurnished,True,True,True,True,Bproperty,True,synthetic
94,"2 Bed 3803 Sq Ft Furnished Apartment in Road No 2A, Dhanmondi","Road No 2A, Dhanmondi",Dhanmondi,3803,2,3,119000,12000.0,131000.0,31.291085984748882,Furnished,True,True,True,True,Bproperty,True,synthetic
95,"4 Bed 2698 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2698,4,3,72000,7500.0,79500.0,26.686434395848778,Unfurnished,True,True,False,True,Bproperty,True,synthetic
96,"5 Bed 2649 Sq Ft Apartment in PC Culture Housing, Mohammadpur","PC Culture Housing, Mohammadpur",Mohammadpur,2649,5,5,55200,3500.0,58700.0,20.838052095130237,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
97,"5 Bed 1129 Sq Ft Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,1129,5,4,49400,15000.0,64400.0,43.7555358724535,Semi-Furnished,False,True,False,False,Bproperty,True,synthetic
98,"2 Bed 3410 Sq Ft Furnished Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3410,2,2,238200,15000.0,253200.0,69.8533724340176,Furnished,True,True,True,True,Bproperty,True,synthetic
99,"2 Bed 3957 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3957,2,2,122100,5000.0,127100.0,30.856709628506444,Unfurnished,True,True,False,False,Bproperty,True,synthetic
100,"1 Bed 3049 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,3049,1,2,83100,6000.0,89100.0,27.25483765168908,Unfurnished,True,True,True,False,Bproperty,True,synthetic
101,"4 Bed 1643 Sq Ft Furnished Apartment in Road No 11, Dhanmondi","Road No 11, Dhanmondi",Dhanmondi,1643,4,5,50800,,50800.0,30.919050517346317,Furnished,True,True,True,True,Bproperty,True,synthetic
102,"5 Bed 3768 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,3768,5,5,71000,,71000.0,18.84288747346072,Unfurnished,True,True,True,False,Bproperty,True,synthetic
103,"3 Bed 1952 Sq Ft Apartment in Nobodoy Housing Society, Mohammadpur","Nobodoy Housing Society, Mohammadpur",Mohammadpur,1952,3,4,43500,6000.0,49500.0,22.28483606557377,Unfurnished,False,True,True,True,Bproperty,True,synthetic
104,"3 Bed 2504 Sq Ft Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,2504,3,3,80400,,80400.0,32.108626198083066,Unfurnished,True,True,True,True,Bproperty,True,synthetic
105,"2 Bed 4424 Sq Ft Apartment in Nobodoy Housing Society, Mohammadpur","Nobodoy Housing Society, Mohammadpur",Mohammadpur,4424,2,2,152300,6000.0,158300.0,34.42585895117541,Unfurnished,False,True,True,True,Bproperty,True,synthetic
106,"3 Bed 1084 Sq Ft Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,1084,3,3,28000,15000.0,43000.0,25.830258302583026,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
107,"2 Bed 3280 Sq Ft Furnished Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3280,2,2,91000,3000.0,94000.0,27.74390243902439,Furnished,False,True,True,True,Bproperty,True,synthetic
108,"1 Bed 2399 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2399,1,2,69000,,69000.0,28.761984160066696,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
109,"2 Bed 1370 Sq Ft Furnished Apartment in Block I, Bashundhara R-A","Block I, Bashundhara R-A",Bashundhara R-A,1370,2,1,56200,,56200.0,41.02189781021898,Furnished,True,True,True,True,Bproperty,True,synthetic
110,"4 Bed 4095 Sq Ft Furnished Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,4095,4,5,109300,12000.0,121300.0,26.691086691086692,Furnished,True,False,True,True,Bproperty,True,synthetic
111,"4 Bed 1128 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1128,4,4,41500,3500.0,45000.0,36.790780141843975,Unfurnished,False,True,True,False,Bproperty,True,synthetic
112,"2 Bed 3537 Sq Ft Furnished Apartment in Road No 11, Dhanmondi","Road No 11, Dhanmondi",Dhanmondi,3537,2,1,136300,,136300.0,38.53548204693243,Furnished,True,True,True,False,Bproperty,True,synthetic
113,"5 Bed 1044 Sq Ft Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,1044,5,4,48900,9000.0,57900.0,46.839080459770116,Unfurnished,True,True,False,True,Bproperty,True,synthetic
114,"5 Bed 2266 Sq Ft Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,2266,5,4,118500,6000.0,124500.0,52.29479258605472,Unfurnished,True,True,True,True,Bproperty,True,synthetic
115,"3 Bed 4288 Sq Ft Apartment in Humayun Road, Mohammadpur","Humayun Road, Mohammadpur",Mohammadpur,4288,3,3,83000,6000.0,89000.0,19.35634328358209,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
116,"4 Bed 1363 Sq Ft Furnished Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,1363,4,5,51700,9000.0,60700.0,37.93103448275862,Furnished,True,True,True,True,Bproperty,True,synthetic
117,"2 Bed 4248 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,4248,2,2,227300,,227300.0,53.5075329566855,Semi-Furnished,False,True,True,False,Bproperty,True,synthetic
118,"3 Bed 4461 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,4461,3,2,134900,,134900.0,30.239856534409324,Unfurnished,True,True,True,True,Bproperty,True,synthetic
119,"3 Bed 4246 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,4246,3,3,119100,9000.0,128100.0,28.049929345266133,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
120,"2 Bed 1159 Sq Ft Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,1159,2,1,43400,6000.0,49400.0,37.446074201898185,Unfurnished,True,False,True,False,Bproperty,True,synthetic
121,"4 Bed 1172 Sq Ft Apartment in PC Culture Housing, Mohammadpur","PC Culture Housing, Mohammadpur",Mohammadpur,1172,4,3,29600,6000.0,35600.0,25.255972696245735,Unfurnished,True,True,True,False,Bproperty,True,synthetic
122,"3 Bed 1637 Sq Ft Furnished Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1637,3,3,46300,7500.0,53800.0,28.28344532681735,Furnished,True,False,True,False,Bproperty,True,synthetic
123,"3 Bed 4211 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,4211,3,3,223000,2000.0,225000.0,52.95654238898124,Unfurnished,True,True,True,True,Bproperty,True,synthetic
124,"2 Bed 1969 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,1969,2,1,43100,,43100.0,21.889283900457084,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
125,"4 Bed 1941 Sq Ft Furnished Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1941,4,4,57600,6000.0,63600.0,29.675425038639876,Furnished,True,True,True,True,Bproperty,True,synthetic
126,"4 Bed 2531 Sq Ft Apartment in Road No 11, Dhanmondi","Road No 11, Dhanmondi",Dhanmondi,2531,4,3,82400,3500.0,85900.0,32.556301856973526,Unfurnished,False,True,True,False,Bproperty,True,synthetic
